medicineName,dosage,uses,details
Albustix 32 mg 30,32 MG,Loop Diuretic,Furosemide
Albustix 4 mg 30,4 MG,Loop Diuretic,Furosemide
Albustix D 32 mg/12.5 mg 30,"32 MG, 12.5 MG, 32 MG + 12.5 MG",Loop Diuretic,Furosemide + Spironolactone
Alcaftapro 0.25% Eye Drops 3 Ml,"3 ML, 3 ML, 0.25%",,Ophthalmic/otic drops
Alcofan 50 mg 12,50 MG,Pharmacological Agent,Ketoprofen
Alcofan 50 Mg 12 Cap,50 MG,,Oral capsule formulation
Alcohol 70% 1 Liter كحول,70%,,Pharmaceutical preparation
Alcohol 70% 125 Ml كحول,"125 ML, 125 ML, 70%",,Pharmaceutical preparation
Alcohol 70% Spray 120 Ml (Pure Phg) كحول,"120 ML, 120 ML, 70%",,Spray formulation
Alcohol 70% Spray 250 Ml كحول,"250 ML, 250 ML, 70%",,Spray formulation
Alcoviva 10 Hard Gelatin,,Pharmacological Agent,Bacterial lysate (immune modulator)
Aldara 5 % Cream 12 Sachets,5%,Pharmacological Agent,Imiquimod 5%
Aldara 5% 12 Sachet Cream 250 Mg,"250 MG, 5%",,Topical cream formulation
Aldomet 250 mg 30,250 MG,Pharmacological Agent,Methyldopa
Aldospira 25 mg 20 Film Coated,25 MG,Potassium-sparing Diuretic; Iron Supplement,Spironolactone
Aldospira 50 mg 20 Film Coated,50 MG,Potassium-sparing Diuretic; Iron Supplement,Spironolactone
Alemox 1 g 12,1 G,"Bacterial infections, Antibiotic",Amoxicillin
Alemox 1 Gm 12 Tab,"1 G, 1 G",,Oral tablet formulation
Alergoliber,"1 mg, 1 mg/ml",Pharmacological Agent,Rupatadine 1 mg/ml
Alergoliber 1 Mg / Ml Oral Solution 120 Ml,"1 MG, 120 ML, 120 ML",,Pharmaceutical preparation
Alergoliber 10 mg 20,10 MG,Pharmacological Agent,Rupatadine
Alerid 10 mg 30,10 MG,Second-generation Antihistamine,Loratadine
Alerid 5 mg/5 ml,"5 MG, 5 ML",Second-generation Antihistamine,Loratadine
Alertam 120 mg 10,120 MG,Second-generation Antihistamine,Fexofenadine
Alertam 180 mg 10,180 MG,Second-generation Antihistamine,Fexofenadine
Alex Panthen Cream 20 gm,20 G,Nutritional supplement,Panthenol (Provitamin B5)
Alexcorda 200 mg 30,200 MG,Beta-blocker,Carvedilol
Alexolyte Oral Solution (Banana) 360 Ml,"360 ML, 360 ML",,Pharmaceutical preparation
Alexolyte Solution - Banana Flavor 360 ml,360 ML,Pharmacological Agent,"Electrolytes (Sodium, Potassium, Chloride)"
Alexolyte Solution - Strawberry Flavor 360 ml,360 ML,Pharmacological Agent,"Electrolytes (Sodium, Potassium, Chloride)"
Alexoprine 75 mg 50 Chewable,75 MG,Pharmacological Agent,Acetylsalicylic acid
Alexoquine 250 mg 10,250 MG,Pharmacological Agent,Chloroquine
Alfa B-Complex Formula 100,,Nutritional supplement,Vitamin B Complex
Alfa Collagen C Hydrolysate 60 Softgel,,"Joint health, Skin health",Collagen supplement
Alfa Omega 3 Fish Oil 1000 mg 100 Softgel,"1000 mg, 100 mg",Pharmacological Agent,Fish Oil 1000 mg + Wheat Germ Oil 100 mg
Alfa Omega 3 Fish Oil 1000 mg 60 Softgel,"1000 mg, 100 mg",Pharmacological Agent,Fish Oil 1000 mg + Wheat Germ Oil 100 mg
Alfa Omega 369 ? 100 Softgel,"1000 mg, 100 mg",Pharmacological Agent,Fish Oil 1000 mg + Wheat Germ Oil 100 mg
Alfa Omega 369 ? 60 Softgel,"1000 mg, 100 mg",Pharmacological Agent,Fish Oil 1000 mg + Wheat Germ Oil 100 mg
Alfa Vitamin D3 5000 IU 100,5000 IU,"Bone health, Calcium absorption",Vitamin D3 5000 IU
Alfabonid 1 mcg / 0.5 ml 10,"1 MCG, 0.5 ML",Nutritional supplement,Vitamin B12
Alfabonid 2 Mcg / 1 Ml 10 Amp,"2 MCG, 1 ML, 1 ML",,Pharmaceutical preparation
Alfabonid 2 Mcg / Ml Oral Drops 10 Ml,"2 MCG, 10 ML, 10 ML",,Ophthalmic/otic drops
Alfabonid 2 Mcg / Ml Oral Drops 20 Ml,"2 MCG, 20 ML, 20 ML",,Ophthalmic/otic drops
Alfabonid 2 mcg/ml Oral,2 MCG,Nutritional supplement,Vitamin B12
Alfabrimo 0.2% Eye Drops 5 Ml,"5 ML, 5 ML, 0.2%",,Ophthalmic/otic drops
Alfabrimo Eye,,Bacterial infections,Antibiotic eye drops (likely combination)
Alfabrimo Plus Eye Drops 5 Ml,"5 ML, 5 ML",,Ophthalmic/otic drops
Alfacalcidol 2 Mcg / Ml Oral Drops 10 Ml (284117),"2 MCG, 10 ML, 10 ML",,Ophthalmic/otic drops
Alfacalcidol 2 Mcg / Ml Oral Drops 20 Ml (252042),"2 MCG, 20 ML, 20 ML",,Ophthalmic/otic drops
Alfacalcidol Oral,,Nutritional supplement,Alfacalcidol (Vitamin D analog)
Alfacareno (One Alpha) 2 Mcg / Ml Oral Drops 10 Ml,"2 MCG, 10 ML, 10 ML",,Ophthalmic/otic drops
Alfacef 500 mg / 100 ml Vial,"500 MG, 100 ML",Fluoroquinolone Antibiotic,Levofloxacin
Alfacef 750 mg / 30 ml Vial,"750 MG, 30 ML",Fluoroquinolone Antibiotic,Levofloxacin
Alfacef 750 mg 5,750 MG,Fluoroquinolone Antibiotic,Levofloxacin
Alfacidocal 0.25 mcg 30 Soft Gelatin,0.25 MCG,Pharmacological Agent,Alfacalcidol + Calcium
Alfacidocal 0.5 mcg 30 Soft Gelatin,0.5 MCG,Pharmacological Agent,Alfacalcidol + Calcium
Alfaclindamycin 150 mg 10,150 MG,Lincosamide Antibiotic,Clindamycin (as phosphate)
Alfaclindamycin 150 Mg 10 Cap,150 MG,,Oral capsule formulation
Alfaclindamycin 300 mg / 2 ml 5,"300 MG, 2 ML",Lincosamide Antibiotic,Clindamycin (as phosphate)
Alfaclindamycin 300 Mg 10 Cap,300 MG,,Oral capsule formulation
Alfaclindamycin 600 mg / 4 ml 5,"600 MG, 4 ML",Lincosamide Antibiotic,Clindamycin (as phosphate)
Alfaclindamycin 900 mg / 6 ml 5,"900 MG, 6 ML",Lincosamide Antibiotic,Clindamycin (as phosphate)
Alfadopa 250 mg 30,250 MG,Pharmacological Agent,Levodopa
Alfamash 30 Tab,,,Oral tablet formulation
Alfaprostin 0.5 mg / ml Ampoule (Fridge),0.5 MG,Pharmacological Agent,Alprostadil
Alfaspect 500 mg 5,500 MG,"Bacterial infections, Antibiotic",Ciprofloxacin
Alfaspect 750 mg 7,750 MG,"Bacterial infections, Antibiotic",Ciprofloxacin
Alfathromb 5 mcg 20,5 MCG,Pharmacological Agent,Alfaprostadil
Alflexil Glucosamine (Alfa) 60 Cap,,,Oral capsule formulation
Algason 40 Gm Massage Cream,"40 G, 40 G",,Topical cream formulation
Algason Massage Cream 40 gm,40 G,Pharmacological Agent,Camphor oil 1.4 gm + Menthol 2.5 gm + Diethylamine Salicylate 15 gm
Algesal Cream 40 gm,40 G,Pharmacological Agent,Salicylic acid 6.54 gm + Diethylamine 3.46 gm + Myrtecaine 1.00 gm
Algesal Suractive 40 Gm Cream #,"40 G, 40 G",,Topical cream formulation
Aliamare Nasal Spray 100 ml,100 ML,Pharmacological Agent,Sea water + Hyaluronic acid sodium salt
Alinjak 20 Hard Gelatin,150 mg,Pharmacological Agent,Ruscus Aculeatus extract 150 mg + Trimethyl hesperidin 150 mg + Ascorbic acid
Aliva 30 Chewable Pieces,,Nutritional supplement,Vitamin C chewable supplement
Alka - Misr 12 Sachets 5 Gm,"5 G, 5 G",,Pharmaceutical preparation
Alka Misr 12 Sachets,,Pharmacological Agent,Sodium bicarbonate 1.666gm + Borax 1.666gm + Sodium chloride 1.666gm
Alkaline 100 Gm Powder,"100 G, 100 G",,Pharmaceutical preparation
Alkapress 10 mg 30,10 MG,Calcium Channel Blocker,Amlodipine
Alkapress 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Alkapress Plus 10 / 160 Mg 20 Tab,160 MG,,Oral tablet formulation
Alkapress Plus 5 / 160 Mg 14 Tab,160 MG,,Oral tablet formulation
Alkapress Plus 5/160 mg 14,160 MG,Calcium Channel Blocker,Amlodipine
Alkapress Trio 10 / 320 / 25 Mg 14 Tab,25 MG,,Oral tablet formulation
Alkapress Trio 5 / 160 / 12.5 Mg 14 Tab,12.5 MG,,Oral tablet formulation
Alkapress Trio 5 / 160 / 25 Mg 14 Tab,25 MG,,Oral tablet formulation
Alkapress Trio 5 mg / 160 mg / 12.5 mg 14,"5 MG, 160 MG, 12.5 MG, 5 MG + 160 MG",Calcium Channel Blocker,Amlodipine
Alkapress Trio 5 mg / 160 mg / 25 mg 14,"5 MG, 160 MG, 25 MG, 5 MG + 160 MG",Calcium Channel Blocker,Amlodipine
Alkapride 50 mg 30 Scored,50 MG,Opioid Analgesic,Tramadol
Alkapride 50 Mg 30 Tab,50 MG,,Oral tablet formulation
Alkor Plus 10 / 20 Mg 14 Tab (182806),20 MG,,Oral tablet formulation
Alkor Plus 10 / 40 Mg 14 Tab (182807),40 MG,,Oral tablet formulation
Alkor Plus 10/20 mg 14,20 MG,"High blood pressure, Heart failure",Lisinopril + Amlodipine
Alkor Plus 10/40 mg 14,40 MG,"High blood pressure, Heart failure",Lisinopril + Amlodipine
All - Vent Syrup 125 Ml,"125 ML, 125 ML",,Oral liquid formulation
All Med Vitamin D3 for Adult Oral Spray 21 ml,21 ML,"Bone health, Calcium absorption",Vitamin D3
All Med Vitamin D3 for kids Oral Spray 21 ml,21 ML,"Bone health, Calcium absorption",Vitamin D3
